title,Patent_Category,center
Polyimide Wire Insulation Repair System,Chemical Sciences,NASA Kennedy Space Center
Autogenic-Feedback Training Exercise Method & System,Biological Sciences,NASA Ames Research Center
Multimodality Instrument For Tissue Characterization,Chemical Sciences,NASA Ames Research Center
Metrics For Body Sensing System,Biological Sciences,NASA Ames Research Center
Multimodality Instrument For Tissue Characterization,Chemical Sciences,NASA Ames Research Center
Automated Triangle Geometry Processing For Surface Modeling And Cartesian Grid Generation  (CART3D),Chemical Sciences,NASA Ames Research Center
Aerodynamic Design Using Neural Networks,Physical Sciences,NASA Ames Research Center
Method For Constructing Composite Response Surfaces By Combining Neural Networks With Polynomial Interpolation Or Estimation Techniques,Chemical Sciences,NASA Ames Research Center
A Direct-To Controller Tool (A Component Of The CTAS Software Suite),Technology,NASA Ames Research Center
Bio-Electric Keyboard/Mouse/Joystick Interface Software/Algorithm,Biological Sciences,NASA Ames Research Center
Keyword-in-context Search Method And Software For Information Retrieval From Collections Of Text Documents (Quorum/Perilog),Chemical Sciences,NASA Ames Research Center
Model-based Phrase Search Method And Software For Information Retrieval From Collections Of Text Documents (Quorum/Perilog),Chemical Sciences,NASA Ames Research Center
Method And Software For Using Implicit Phrase Models To Generate Prominent Phrases Contained In Collections Of Text Documents (Quorum/Perilog),Chemical Sciences,NASA Ames Research Center
Method And Software For Extracting And Distilling Topically And Situationally Relevant Phrases From Collections Of Text Documents (Quorum/Perilog),Chemical Sciences,NASA Ames Research Center
Spatially-modulated Auditory Alert Having Enhanced Detection,Chemical Sciences,NASA Ames Research Center
Spatial Standard Observer,Physical Sciences,NASA Ames Research Center
Spatial Standard Observer,Physical Sciences,NASA Ames Research Center
A Hybrid Neural Network And Support Vector Machine Method For Optimization,Chemical Sciences,NASA Ames Research Center
A Novel Technique That Allows For The Deposition And Patterning Of A Catalyst Onto A Surface For The Growth Of Single-Walled Carbon Nanotubes,Chemical Sciences,NASA Ames Research Center
3D Laser Scanner,Technology,NASA Ames Research Center
Future ATM (Air Traffic Management) Concepts Evaluation Tool (FACET),Chemical Sciences,NASA Ames Research Center
Future ATM (Air Traffic Management) Concepts Evaluation Tool (FACET),Chemical Sciences,NASA Ames Research Center
A Plasma Apparatus And Process For Functionalization Of Carbon Nanotubes,Chemical Sciences,NASA Ames Research Center
Improved Functionalization Of Carbon Nanotubes,Chemical Sciences,NASA Ames Research Center
Selective Functionalization Of Carbon Nanotubes Based Upon Distance Traveled,Chemical Sciences,NASA Ames Research Center
Advanced XML Database Integration Technique For Managing Unstructured Documents (NETMARK) (Part of NTTS Suite),Chemical Sciences,NASA Ames Research Center
Communication Using VCSEL Laser Array,Chemical Sciences,NASA Ames Research Center
Elimination Of Parameter Input Requirement For Elliptic Grid Generation Methods In Engineering,Chemical Sciences,NASA Ames Research Center
An Environmentally Compatible Method To Purify Carbon Nanotubes,Chemical Sciences,NASA Ames Research Center
High-Efficiency Tantalum-Based Ceramics (HETC),Physical Sciences,NASA Ames Research Center
IMPROVED RAM BOOSTER,Technology,NASA Armstrong Flight Research Center
Ordered Biological Nanostructures Formed From Chaperonin Polypeptides,Biological Sciences,NASA Ames Research Center
A Versatile Platform For Nanotechnology Based On Circular Permutations Of Chaperonin Protein,Chemical Sciences,NASA Ames Research Center
Bucky Paper As An Artificial Support Membrane In Retinal Cell Transplantation,Chemical Sciences,NASA Ames Research Center
Carbon Nanotubes As A Prototype Interface For Retinal Cell Recording And Stimulation (Vision Chip),Chemical Sciences,NASA Ames Research Center
Program Management Tool (PMT)  Also Known As Business Intelligence (BI),Technology,NASA Ames Research Center
Enhanced Project Management Tool,Technology,NASA Ames Research Center
Intelligent Weather Agent,Biological Sciences,NASA Ames Research Center
Sub Auditory Speech Recognition Based On Electromyographic Signals,Chemical Sciences,NASA Ames Research Center
Information Display System For Atypical Flight Phase,Chemical Sciences,NASA Ames Research Center
Metallic Nanowire Interconnections For Integrated Circuit Fabrication,Chemical Sciences,NASA Ames Research Center
Inductive Monitoring System - System Health Monitoring Software That Learns System Behavior From Data (IMS),Technology,NASA Ames Research Center
"InvestigationOrganizer: Information Storage, Modeling And Visualization Support For Accident/Mishap Investigations  (Part Of A Suite Of Software That Includes ARC-15069, ARC-15070 And ARC-15073) ",Chemical Sciences,NASA Ames Research Center
Carbon Nanotube Bucky Paper Cages For Immune Shielding Of Cells And Tissue For Transplantation,Chemical Sciences,NASA Ames Research Center
Sample Handling Device For X-ray Diffraction Instruments,Chemical Sciences,NASA Ames Research Center
A Method Of Converting Quantum Wells From Type-II To Type-I And Of Enhancing Interband Optical Gain ,Physical Sciences,NASA Ames Research Center
Trajectory Specification For High-Capacity Air Traffic Control,Chemical Sciences,NASA Ames Research Center
Embedded Carbon Nanotube Array As High Performance Thermal Conductors,Chemical Sciences,NASA Ames Research Center
Nanoengineered Thermal Materials Based On Carbon Nanotube Array Composites,Chemical Sciences,NASA Ames Research Center
Toughened Uni-piece Fibrous Reduced Oxidation Ceramic (TUFROC) Light-Weight Thermal Protection System For Use On Space Vehicles During Atmospheric Entry At Hypersonic Speed,Chemical Sciences,NASA Ames Research Center
Toughened Uni-piece Fibrous Reinforced Oxidation-Resistant Composite (TUFROC),Chemical Sciences,NASA Ames Research Center
Nanopore Pipetts For Structural Characterization Of Single Polymeric Biomelecules,Chemical Sciences,NASA Ames Research Center
Nanopore Pipetts For Structural Characterization Of Single Polymeric Biomelecules,Chemical Sciences,NASA Ames Research Center
The Electrochemical Biosensors Using Carbon Nanotube Nanoelectrode Arrays,Sensors,NASA Ames Research Center
Context Based Configuration Management Concept,Chemical Sciences,NASA Ames Research Center
Provision Of Carbon Nanotube Arrays Of Variable Density For IC Hot Spot Control,Chemical Sciences,NASA Ames Research Center
Carbon Nanotube Growth Density Control,Chemical Sciences,NASA Ames Research Center
Reconfigurable Auditory-visual Display For Multi-channel Control Center And Rescue Communications,Chemical Sciences,NASA Ames Research Center
Display Of Aircraft Energy State For Flight Operations Quality Assurance (FOQA) Programs,Chemical Sciences,NASA Ames Research Center
Real-Time Analysis And Display Of Aircraft Approach Maneuvers ,Physical Sciences,NASA Ames Research Center
Selective Access And Editing In A Database (Part of NTTS Suite),Databases,NASA Ames Research Center
Delay Banking: Collaborative Decision Making For Airspace-user Priority In Tactical Flow Restrictions,Chemical Sciences,NASA Ames Research Center
Use Of A Single Electrode To Orient Carbon Nanotube Growth,Chemical Sciences,NASA Ames Research Center
Low Cost Portable Planetarium Imaging System,Physical Sciences,NASA Ames Research Center
A Tracking Sunphotometer Without Moving Parts ,Chemical Sciences,NASA Ames Research Center
Discharge Based Gas Sensor Array Using Self-Oriented Regular Vertical Array Of Carbon Nanotubes,Sensors,NASA Ames Research Center
Finite-Difference  Simulation And Visualization Of Elastodynamics In Time-Evolving Generalized Curvilinear Coordinates ,Chemical Sciences,NASA Ames Research Center
Electronic Firefighter Escape Trail,Physical Sciences,NASA Ames Research Center
Applications Of Carbon Nanotube Hold-Off Voltages,Chemical Sciences,NASA Ames Research Center
Security Applications For Subvocal Speech,Chemical Sciences,NASA Ames Research Center
Gas Sensors Based on Coated and Doped Carbon Nanotubes,Sensors,NASA Ames Research Center
Coated Or Doped Carbon Nanotube Network Sensors As Affected By Environmental Parameters And Elapsed Time,Sensors,NASA Ames Research Center
Nanotechnology Sensors For Determination Of Chemical Substances In An Oil Reservoir,Sensors,NASA Ames Research Center
Detection Of Presence Of Chemical Precursors,Chemical Sciences,NASA Ames Research Center
Use Of Carbon Nanotube Arrays For Display Purposes,Chemical Sciences,NASA Ames Research Center
Visual Signal Sensor Organ Replacement: Implementation,Sensors,NASA Ames Research Center
